,ansatz_0a,ansatz_0b,ansatz_0c,ansatz_0d,ansatz_1a,ansatz_1b,ansatz_1c,ansatz_1d
199,4.8134765625,4.50390625,4.5888671875,4.8134765625,4.552734375,4.50390625,4.62109375,4.552734375
200,4.810546875,4.498046875,4.595703125,4.810546875,4.6025390625,4.498046875,4.5546875,4.6025390625
201,4.6884765625,4.50390625,4.568359375,4.6884765625,4.5283203125,4.50390625,4.60546875,4.5283203125
202,4.724609375,4.498046875,4.6416015625,4.724609375,4.5546875,4.498046875,4.7421875,4.5546875
203,4.8408203125,4.50390625,4.6240234375,4.8408203125,4.623046875,4.50390625,4.6005859375,4.623046875
204,4.7548828125,4.498046875,4.65625,4.7548828125,4.5361328125,4.498046875,4.591796875,4.5361328125
205,4.6123046875,4.50390625,4.5361328125,4.6123046875,4.55078125,4.50390625,4.5712890625,4.55078125
206,4.7197265625,4.498046875,4.63671875,4.7197265625,4.556640625,4.498046875,4.6298828125,4.556640625
207,4.6787109375,4.50390625,4.56640625,4.6787109375,4.5068359375,4.50390625,4.591796875,4.5068359375
208,4.671875,4.498046875,4.6201171875,4.671875,4.587890625,4.498046875,4.6162109375,4.587890625
209,4.8388671875,4.50390625,4.5390625,4.8388671875,4.58203125,4.50390625,4.62890625,4.58203125
210,4.7001953125,4.498046875,4.666015625,4.7001953125,4.60546875,4.498046875,4.6015625,4.60546875
211,4.6630859375,4.50390625,4.5634765625,4.6630859375,4.5830078125,4.50390625,4.5498046875,4.5830078125
212,4.7373046875,4.498046875,4.5478515625,4.7373046875,4.6708984375,4.498046875,4.5302734375,4.6708984375
213,4.7080078125,4.50390625,4.5263671875,4.7080078125,4.556640625,4.50390625,4.634765625,4.556640625
214,4.6611328125,4.498046875,4.5791015625,4.6611328125,4.5546875,4.498046875,4.626953125,4.5546875
215,4.8037109375,4.50390625,4.5771484375,4.8037109375,4.5966796875,4.50390625,4.5595703125,4.5966796875
216,4.6650390625,4.498046875,4.5,4.6650390625,4.5693359375,4.498046875,4.53515625,4.5693359375
