,ansatz_0a_2f,ansatz_0b_2f,ansatz_0c_2f,ansatz_0d_2f,ansatz_1a_2f,ansatz_1b_2f,ansatz_1c_2f,ansatz_1d_2f
239,4.626953125,4.50390625,4.5966796875,4.646484375,4.607421875,4.50390625,4.5703125,4.6142578125
240,4.5458984375,4.498046875,4.6669921875,4.5224609375,4.5712890625,4.498046875,4.6083984375,4.59375
241,4.5498046875,4.50390625,4.609375,4.5556640625,4.5615234375,4.50390625,4.6025390625,4.564453125
242,4.6259765625,4.498046875,4.5986328125,4.5966796875,4.5654296875,4.498046875,4.70703125,4.603515625
243,4.6025390625,4.50390625,4.552734375,4.548828125,4.6396484375,4.50390625,4.642578125,4.6337890625
244,4.6259765625,4.498046875,4.736328125,4.6171875,4.6005859375,4.498046875,4.7353515625,4.5888671875
245,4.6171875,4.50390625,4.587890625,4.599609375,4.560546875,4.50390625,4.69921875,4.5810546875
246,4.595703125,4.498046875,4.6318359375,4.5771484375,4.6416015625,4.498046875,4.591796875,4.62109375
247,4.5078125,4.50390625,4.552734375,4.5576171875,4.556640625,4.50390625,4.5634765625,4.556640625
248,4.5810546875,4.498046875,4.60546875,4.619140625,4.5966796875,4.498046875,4.681640625,4.546875
249,4.572265625,4.50390625,4.59765625,4.6279296875,4.62890625,4.50390625,4.5439453125,4.623046875
250,4.5322265625,4.498046875,4.650390625,4.6015625,4.568359375,4.498046875,4.544921875,4.5615234375
251,4.529296875,4.50390625,4.681640625,4.556640625,4.525390625,4.50390625,4.5537109375,4.53515625
252,4.6259765625,4.498046875,4.59765625,4.6298828125,4.6171875,4.498046875,4.599609375,4.587890625
253,4.609375,4.50390625,4.6298828125,4.6064453125,4.568359375,4.50390625,4.53515625,4.599609375
254,4.517578125,4.498046875,4.6279296875,4.556640625,4.591796875,4.498046875,4.5849609375,4.5869140625
255,4.55078125,4.50390625,4.6669921875,4.5458984375,4.5791015625,4.50390625,4.533203125,4.5751953125
256,4.5927734375,4.498046875,4.55078125,4.5595703125,4.5986328125,4.498046875,4.697265625,4.5693359375
257,4.5322265625,4.50390625,4.5712890625,4.560546875,4.58203125,4.50390625,4.626953125,4.6064453125
258,4.515625,4.498046875,4.5654296875,4.5478515625,4.65234375,4.498046875,4.587890625,4.6123046875
259,4.5400390625,4.50390625,4.6357421875,4.5234375,4.5751953125,4.50390625,4.5859375,4.59375
260,4.541015625,4.498046875,4.486328125,4.5390625,4.65625,4.498046875,4.5556640625,4.6640625
261,4.525390625,4.50390625,4.5244140625,4.576171875,4.5341796875,4.50390625,4.580078125,4.53515625
262,4.5966796875,4.498046875,4.736328125,4.568359375,4.6171875,4.498046875,4.6396484375,4.6171875
263,4.5458984375,4.50390625,4.6015625,4.58984375,4.572265625,4.50390625,4.634765625,4.6025390625
264,4.646484375,4.498046875,4.650390625,4.724609375,4.548828125,4.498046875,4.576171875,4.5478515625
265,4.615234375,4.50390625,4.5859375,4.5390625,4.4873046875,4.50390625,4.53515625,4.466796875
266,4.587890625,4.498046875,4.5791015625,4.5693359375,4.5244140625,4.498046875,4.59765625,4.525390625
267,4.5810546875,4.50390625,4.5712890625,4.5478515625,4.5400390625,4.50390625,4.6171875,4.548828125
268,4.5869140625,4.498046875,4.6591796875,4.5966796875,4.6044921875,4.498046875,4.587890625,4.5732421875
269,4.5205078125,4.50390625,4.6826171875,4.51171875,4.591796875,4.50390625,4.6396484375,4.630859375
270,4.5556640625,4.498046875,4.634765625,4.5595703125,4.56640625,4.498046875,4.6416015625,4.546875
271,4.5146484375,4.50390625,4.599609375,4.533203125,4.5048828125,4.50390625,4.51171875,4.5068359375
272,4.5380859375,4.498046875,4.5419921875,4.5205078125,4.544921875,4.498046875,4.64453125,4.548828125
273,4.4912109375,4.50390625,4.59765625,4.509765625,4.537109375,4.50390625,4.5830078125,4.5517578125
